"Chuong","Zh","OutPara","ZhPara","Ratio","SpacePct","CJK","BadBytes","Dup","Status"
"770","775","63","63","1.38","21.23","0","0","0","OK"
"771","776","62","62","1.39","21.08","0","0","0","OK"
"772","777","64","64","1.38","21.09","0","0","0","OK"
"773","778","72","72","1.46","21.39","0","0","0","OK"
"774","779","63","63","1.39","21.59","0","0","0","OK"
"775","780","60","60","1.47","21.54","0","0","0","OK"
"776","781","81","81","1.5","21.59","0","0","0","OK"
"777","782","51","51","1.48","21.52","0","0","0","OK"
"778","783","71","71","1.53","21.42","0","0","0","OK"
"779","784","53","53","1.48","21.03","0","0","0","OK"
"780","785","55","55","1.4","20.86","0","0","0","OK"
"781","786","64","64","1.38","20.95","0","0","0","OK"
"782","787","67","67","1.39","20.77","0","0","0","OK"
"783","788","71","71","1.43","21.14","0","0","0","OK"
"784","789","68","68","1.5","21.41","0","0","0","OK"
"785","790","60","60","1.4","21.11","0","0","0","OK"
"786","791","62","62","1.45","21.31","0","0","0","OK"
"787","792","56","56","1.51","21.03","0","0","0","OK"
"788","793","74","74","1.46","20.71","0","0","0","OK"
"789","794","56","56","1.51","21.4","0","0","0","OK"
"790","795","85","85","1.43","21.15","0","0","0","OK"
"791","796","81","81","1.43","21.31","0","0","0","OK"
"792","797","61","61","1.45","21.22","0","0","0","OK"
